"","MarkerX","MarkerZ","SecondX","SecondZ","UserX","UserZ","ErrorX","ErrorY","ErrorMag","MarkerTime","TrialTime","Landmark","AngleError","Interface"
"186",0,-2.1,0.6,1,-0.5,-2.6,-0.5,-0.5,0.707106781186548,4.4344,10.9385,"N",6.03676064858785,0
"187",-1.2,-1.8,0.5,-1.9,-1.6,-1.9,-0.4,-0.0999999999999999,0.412310562561766,1.1893,7.14489999999999,"N",3.3664606634298,0
"188",1.2,1.8,0.4,-0.6,1.8,1.6,0.6,-0.2,0.632455532033676,2.86430000000001,7.76430000000002,"N",14.0362434679265,0
"189",0,2.1,-0.9,-0.3,0.3,2.4,0.3,0.3,0.424264068711928,2.68389999999999,7.91719999999998,"N",3.40644375499467,0
"190",-1.5,0,-1.1,-1.1,-1.7,0.4,-0.2,0.4,0.447213595499958,1.7388,7.6721,"N",1.81830296445163,0
"191",1.2,-1.8,-1.4,-0.1,1.4,-2.4,0.2,-0.6,0.632455532033676,-0.794900000000013,10.2496,"N",6.22214900408665,0
"192",1.5,0,-0.3,-1.4,2.2,-0.6,0.7,-0.6,0.921954445729289,2.4342,7.87860000000001,"N",20.1303120260413,0
"193",1.2,-1.8,-1.3,-0.2,1.1,-1.4,-0.0999999999999999,0.4,0.412310562561766,3.13124,9.14235,"L",6.05419189411486,0
"194",0,2.1,1.3,0.8,-0.3,2.5,-0.3,0.4,0.5,2.56122999999999,9.37233,"L",1.73570458892878,0
"195",-1.2,1.8,-0.4,-0.6,-1.2,1,0,-0.8,0.8,2.57011,8.80343999999999,"L",8.130102354156,0
"196",0,2.1,1.1,1.7,-0.5,2.2,-0.5,0.1,0.509901951359279,2.30786000000001,9.38563000000001,"L",2.62908188563879,0
"197",-1.2,1.8,0.6,-0.7,-0.5,0.9,0.7,-0.9,1.14017542509914,2.6664,8.32195999999999,"L",1.24536426676802,0
"198",1.2,1.8,1.1,-0.4,-0.1,1.4,-1.3,-0.4,1.36014705087354,3.83842,9.97176,"L",36.2926297284796,0
